Date,Abbott Laboratories (ABT-US),Adobe Incorporated (ADBE-US),"Amazon.com, Inc. (AMZN-US)",American Express Company (AXP-US),"BlackRock, Inc. (BLK-US)",Citigroup Inc. (C-US),"Cisco Systems, Inc. (CSCO-US)",Chevron Corporation (CVX-US),eBay Inc. (EBAY-US),Alphabet Inc. Class A (GOOGL-US),"Home Depot, Inc. (HD-US)",International Business Machines Corporation (IBM-US),Intel Corporation (INTC-US),JPMorgan Chase & Co. (JPM-US),Coca-Cola Company (KO-US),Southwest Airlines Co. (LUV-US),Mastercard Incorporated Class A (MA-US),McDonald's Corporation (MCD-US),Meta Platforms Inc. Class A (META-US),MSCI Inc. Class A (MSCI-US),Microsoft Corporation (MSFT-US),NVIDIA Corporation (NVDA-US),"Waste Management, Inc. (WM-US)",Walmart Inc. (WMT-US),Exxon Mobil Corporation (XOM-US),S&P 500 (SP50)
2014/1/31,-3.818888599,-1.150653819,-10.05541764,-6.052353136,-5.055771479,-8.962151219,-1.563513152,-10.63165479,-3.034730612,5.376954858,-6.667476318,-5.805839726,-5.451743402,-4.717173393,-8.448317599,11.19957537,-9.296141689,-2.947541997,14.49431829,-2.287282708,1.149425287,-1.997503121,-6.886561177,-5.095946118,-8.932806324,-3.457407592
2014/2/28,8.510623004,15.94863997,0.950687223,7.362981838,1.454388125,2.530041059,-0.502053869,4.23671952,10.4699275,2.936571557,6.740403383,5.375312325,1.861703341,2.637286714,1.004759387,7.112171838,2.695559284,1.901454816,9.413456928,2.31741573,1.999630021,17.60107006,-0.670177118,0.026780932,5.192480469,4.57438536
2014/3/31,-3.192552001,-4.210986449,-7.107157851,-1.369406766,3.810687574,-2.118035603,2.821104298,3.104139801,-6.006460481,-8.319826618,-2.977556991,3.953125482,4.256862321,6.846178231,2.006562827,5.398262032,-3.88574561,3.026799541,-12.00701139,-1.578586136,6.995566456,-2.557128255,2.296192771,2.97443909,1.464628695,0.840571672
2014/4/30,1.195069315,-6.160632796,-9.583339527,-2.640857242,-4.286440632,0.651260109,3.948609113,5.558816055,-6.173062744,-4.108043669,0.480226106,2.06763515,3.393514832,-7.211783959,5.509575185,2.371866831,-1.387654456,3.417316934,-0.763612218,-5.764760576,-1.439375989,3.126744599,5.65724101,4.291507025,4.842348845,0.739203351
2014/5/30,3.278253521,4.619873561,2.768552921,4.655162525,1.295677288,-0.688878446,6.533976584,-1.329512541,-2.122328357,6.874442609,0.905555366,-5.618519907,3.240484082,-0.732409001,0.294181488,9.433190476,3.942884118,0.849006105,5.888256942,6.462752837,2.038614525,3.34890321,0.517436523,-3.095377305,-1.171393312,2.347408609
2014/6/30,2.22445613,12.11651689,3.912973924,3.683065058,5.474005486,-0.988018233,0.934193156,6.319741158,-1.320716303,2.277610267,1.497796363,-1.67607252,13.10395228,3.689040947,4.32569753,1.778207455,-3.89796331,-0.680276661,6.303317536,6.232622799,1.856377806,-2.421043014,0.96126399,-2.21441241,0.149214441,2.065750821
2014/7/31,3.531451129,-4.298092869,-3.63014964,-6.98694,-4.652691181,3.864119091,2.299873713,-1.003450112,5.533359599,-0.875711085,-0.135868852,5.737303639,9.676369095,0.782186019,-7.247398224,5.286673525,1.071288148,-6.13460387,7.965522366,-1.308615049,3.501201036,-5.609500266,0.357703677,-1.984805507,-1.728242011,-1.379092989
2014/8/29,0.284912463,3.826864732,8.322962395,1.761374386,9.103116147,5.602131508,-0.951249246,1.012404756,5.053940895,0.48486241,15.64626183,0.922126532,3.745643085,3.086538032,6.184775915,13.41038115,2.238700598,-0.035551625,2.986923606,1.966850829,5.909679229,11.63058065,4.633555829,3.273187368,1.228111889,4.000504369
2014/9/30,-1.538833927,-3.769123783,-4.896188663,-2.244560311,-0.668625459,0.329129581,1.480594201,-7.825419918,2.036044086,1.038876296,-1.376435825,-1.284449902,-0.286361356,1.328846406,2.996550988,5.498290805,-2.493076248,1.163032226,5.640203154,1.907238838,2.047103152,-5.141385238,2.000997915,1.284770889,-5.439364745,-1.402363106
2014/10/31,5.363933422,1.344124874,-5.266096018,3.064355917,3.895583626,3.319316757,-2.781087347,0.527986381,-7.292961805,-3.490763243,6.300415226,-13.39619411,-2.326249916,1.080926067,-1.828407057,2.102449949,13.46902112,-1.139106959,-5.123987854,-0.355289239,1.272649852,5.907857297,2.861349509,-0.261549847,2.828278683,2.442513948
2014/11/28,2.110569166,5.077010839,10.86231258,2.745969478,5.268095667,0.821967056,12.95463783,-8.402267836,4.533335168,-3.3088559,1.927806656,-0.684413241,10.25656042,-0.529099967,7.781094503,21.28771203,4.226864771,4.198445641,3.613815175,3.643382658,2.479420189,7.774193368,-0.327264333,14.77645512,-5.711113286,2.689473322
